Feature,Importance_score_xgb
amenities_single oven,0.00017253171
amenities_indoor fireplace: electric,0.00017228146
host_has_profile_pic,0.00017085933
amenities_breakfast,0.0001707079
host_acceptance_rate,0.00016901329
property_type_Shared room in rental unit,0.00016844828
amenities_board games,0.00016336596
amenities_fast wifi – 67 mbps,0.00016121817
"amenities_55"" hdtv with netflix",0.00015934813
host_response_rate,0.00015691538
has_availability,0.00015638511
amenities_barbecue utensils,0.00015604601
amenities_pack ’n play/travel crib,0.00015363116
amenities_gas stove,0.00014911141
amenities_fast wifi – 75 mbps,0.00014826936
property_type_Private room in villa,0.00014741239
amenities_private backyard – not fully fenced,0.00014140907
amenities_safe,0.00014045657
neighbourhood_cleansed_Sutton,0.00013989113
amenities_beach essentials,0.00013934684
amenities_ping pong table,0.00013870519
property_type_Private room in cottage,0.00013613826
property_type_Private room in casa particular,0.00013513217
amenities_shared gym in building,0.00013163585
amenities_clothing storage: closet and wardrobe,0.00013153254
amenities_cleaning available during stay,0.00013120922
name_missing,0.00013070037
property_type_Boat,0.00013002062
amenities_bbq grill: gas,0.0001298386
"amenities_coffee maker: nespresso, pour-over coffee",0.00012907854
"amenities_hdtv with netflix, amazon prime video",0.00012308925
property_type_Private room in bungalow,0.000121597346
amenities_bosch refrigerator,0.00012093682
amenities_clothing storage: wardrobe and dresser,0.000117787844
property_type_Private room in boat,0.00011085816
property_type_Room in aparthotel,0.00010582567
"amenities_32"" hdtv with netflix",0.00010495141
amenities_garden view,0.00010477854
amenities_stainless steel oven,9.811616e-05
amenities_siemens refrigerator,8.878887e-05
property_type_Tiny home,7.587833e-05
property_type_Private room in religious building,7.3035444e-05
amenities_bbq grill,7.2862895e-05
amenities_free driveway parking on premises,6.731337e-05
amenities_ac - split type ductless system,6.114376e-05
property_type_Camper/RV,6.072014e-05
"amenities_43"" hdtv",4.228873e-05
property_type_Shared room in boutique hotel,2.7444215e-05
amenities_bosch oven,1.6514452e-05
amenities_hdtv with premium cable,0.0
property_type_Shared room in bungalow,0.0
property_type_Casa particular,0.0
property_type_Shared room in guesthouse,0.0
property_type_Shared room in hotel,0.0
property_type_Shared room in serviced apartment,0.0
property_type_Shared room in tent,0.0
amenities_faith in nature conditioner,0.0
property_type_Room in hostel,0.0
"amenities_40"" hdtv",0.0
property_type_Private room in earthen home,0.0
property_type_Room in serviced apartment,0.0
property_type_Private room in farm stay,0.0
property_type_Room in bed and breakfast,0.0
amenities_siemens stainless steel oven,0.0
property_type_Religious building,0.0
property_type_Private room in yurt,0.0
description_missing,0.0
property_type_Private room in tipi,0.0
property_type_Private room in tiny home,0.0
property_type_Private room in shepherd's hut,0.0
property_type_Private room in nature lodge,0.0
property_type_Shared room in vacation home,0.0
amenities_game console: xbox one,0.0
property_type_Shared room in villa,0.0
amenities_fast wifi – 52 mbps,0.0
property_type_Barn,0.0
property_type_Castle,0.0
amenities_free parking on premises – 1 space,0.0
property_type_Earthen home,0.0
"amenities_coffee maker: drip coffee maker, french press",0.0
property_type_Entire chalet,0.0
property_type_Private room in hut,0.0
amenities_bay view,0.0
property_type_Entire home/apt,0.0
property_type_Hut,0.0
property_type_Island,0.0
amenities_standalone high chair,0.0
property_type_Shepherd’s hut,0.0
amenities_exercise equipment: free weights,0.0
amenities_faith in nature body soap,0.0
property_type_Private room in cabin,0.0
host_response_time_a few days or more,0.0
room_type_Hotel room,0.0
beds_missing,0.0
amenities_harbor view,0.0
property_type_Private room in chalet,0.0
property_type_Tower,0.0
bedrooms_missing,0.0
property_type_Tent,0.0
property_type_Private room in houseboat,0.0
